case,role,kind,index,bank,earliest,start,end
serial_single_memory,B,READ,0,0,0,0,100
serial_single_memory,C,READ,0,0,0,100,200
serial_single_memory,A,WRITE,0,0,201,201,301
serial_single_memory,B,READ,1,0,0,301,401
serial_single_memory,C,READ,1,0,0,401,501
serial_single_memory,A,WRITE,1,0,502,502,602
serial_single_memory,B,READ,2,0,0,602,702
serial_single_memory,C,READ,2,0,0,702,802
serial_single_memory,A,WRITE,2,0,803,803,903
serial_single_memory,B,READ,3,0,0,903,1003
serial_single_memory,C,READ,3,0,0,1003,1103
serial_single_memory,A,WRITE,3,0,1104,1104,1204
serial_single_memory,B,READ,4,0,0,1204,1304
serial_single_memory,C,READ,4,0,0,1304,1404
serial_single_memory,A,WRITE,4,0,1405,1405,1505
serial_single_memory,B,READ,5,0,0,1505,1605
serial_single_memory,C,READ,5,0,0,1605,1705
serial_single_memory,A,WRITE,5,0,1706,1706,1806
parallel_two_memory_role_split,B,READ,0,0,0,0,100
parallel_two_memory_role_split,C,READ,0,1,0,0,100
parallel_two_memory_role_split,A,WRITE,0,0,101,101,201
parallel_two_memory_role_split,B,READ,1,0,0,201,301
parallel_two_memory_role_split,C,READ,1,1,0,100,200
parallel_two_memory_role_split,A,WRITE,1,0,302,302,402
parallel_two_memory_role_split,B,READ,2,0,0,402,502
parallel_two_memory_role_split,C,READ,2,1,0,200,300
parallel_two_memory_role_split,A,WRITE,2,0,503,503,603
parallel_two_memory_role_split,B,READ,3,0,0,603,703
parallel_two_memory_role_split,C,READ,3,1,0,300,400
parallel_two_memory_role_split,A,WRITE,3,0,704,704,804
parallel_two_memory_role_split,B,READ,4,0,0,804,904
parallel_two_memory_role_split,C,READ,4,1,0,400,500
parallel_two_memory_role_split,A,WRITE,4,0,905,905,1005
parallel_two_memory_role_split,B,READ,5,0,0,1005,1105
parallel_two_memory_role_split,C,READ,5,1,0,500,600
parallel_two_memory_role_split,A,WRITE,5,0,1106,1106,1206
parallel_three_memory_role_split,B,READ,0,0,0,0,100
parallel_three_memory_role_split,C,READ,0,1,0,0,100
parallel_three_memory_role_split,A,WRITE,0,2,101,101,201
parallel_three_memory_role_split,B,READ,1,0,0,100,200
parallel_three_memory_role_split,C,READ,1,1,0,100,200
parallel_three_memory_role_split,A,WRITE,1,2,201,201,301
parallel_three_memory_role_split,B,READ,2,0,0,200,300
parallel_three_memory_role_split,C,READ,2,1,0,200,300
parallel_three_memory_role_split,A,WRITE,2,2,301,301,401
parallel_three_memory_role_split,B,READ,3,0,0,300,400
parallel_three_memory_role_split,C,READ,3,1,0,300,400
parallel_three_memory_role_split,A,WRITE,3,2,401,401,501
parallel_three_memory_role_split,B,READ,4,0,0,400,500
parallel_three_memory_role_split,C,READ,4,1,0,400,500
parallel_three_memory_role_split,A,WRITE,4,2,501,501,601
parallel_three_memory_role_split,B,READ,5,0,0,500,600
parallel_three_memory_role_split,C,READ,5,1,0,500,600
parallel_three_memory_role_split,A,WRITE,5,2,601,601,701
parallel_two_memory_conflicted_control,B,READ,0,0,0,0,100
parallel_two_memory_conflicted_control,C,READ,0,0,0,100,200
parallel_two_memory_conflicted_control,A,WRITE,0,0,201,201,301
parallel_two_memory_conflicted_control,B,READ,1,0,0,301,401
parallel_two_memory_conflicted_control,C,READ,1,0,0,401,501
parallel_two_memory_conflicted_control,A,WRITE,1,0,502,502,602
parallel_two_memory_conflicted_control,B,READ,2,0,0,602,702
parallel_two_memory_conflicted_control,C,READ,2,0,0,702,802
parallel_two_memory_conflicted_control,A,WRITE,2,0,803,803,903
parallel_two_memory_conflicted_control,B,READ,3,0,0,903,1003
parallel_two_memory_conflicted_control,C,READ,3,0,0,1003,1103
parallel_two_memory_conflicted_control,A,WRITE,3,0,1104,1104,1204
parallel_two_memory_conflicted_control,B,READ,4,0,0,1204,1304
parallel_two_memory_conflicted_control,C,READ,4,0,0,1304,1404
parallel_two_memory_conflicted_control,A,WRITE,4,0,1405,1405,1505
parallel_two_memory_conflicted_control,B,READ,5,0,0,1505,1605
parallel_two_memory_conflicted_control,C,READ,5,0,0,1605,1705
parallel_two_memory_conflicted_control,A,WRITE,5,0,1706,1706,1806
